,word1,word2,prediction
0,abandon,frost,-0.0006972009432502091
1,abandon,railroad,-0.0009443218004889786
2,abortion,religion,-0.0006342186825349927
3,abstract,candle,-0.0010901469504460692
4,abstract,frog,-0.0015589246759191155
5,abstract,moon,-0.0010335234692320228
6,abstract,rally,-0.0011149793863296509
7,abuse,abuse,-0.0
8,abuse,disorder,-0.0005579641438089311
9,accommodate,adjust,-0.0006527210935018957
10,accommodation,accommodation,-0.0
11,accompany,walking,-0.0007401251350529492
12,account,explanation,-0.0009504000190645456
13,account,invoice,-0.0025495062582194805
14,act,improvement,-0.0007324103498831391
15,action,adjustment,-0.0007393033592961729
16,action,entrance,-0.0008408705471083522
17,activity,solo,-0.0008530408376827836
18,activity,variation,-0.0006626987596973777
19,actor,amateur,-0.000678494106978178
20,ad,track,-0.0008450719178654253
21,add,increased,-0.0017885365523397923
22,add,string,-0.0008102133288048208
23,addition,segment,-0.0006906717899255455
24,admitting,confess,-0.0007078251801431179
25,adult,dentist,-0.000749483413528651
26,advance,advance,-0.0
27,advance,string,-0.0008989935158751905
28,advice,recommendation,-0.0007099168142303824
29,advised,murder,-0.0007608954911120236
30,aerial,clown,-0.0010385296773165464
31,africa,territory,-0.0007876933668740094
32,age,history,-0.000639664416667074
33,agency,police,-0.0007116086198948324
34,aim,intending,-0.0010050444398075342
35,air,cold,-0.0014937510713934898
36,air,plasma,-0.0007225304143503308
37,air,satellite,-0.0005707981763407588
38,aircraft,fleet,-0.0012425045715644956
39,aircraft,flight,-0.0003731683536898345
40,aircraft,yacht,-0.0014900077367201447
41,airplane,plane,-0.0009961712639778852
42,ale,bitter,-0.0005665533826686442
43,alley,street,-0.0003587761602830142
44,aluminum,component,-0.0008114883676171303
45,aluminum,imperative,-0.0015475519467145205
46,american,lobster,-0.0006202753866091371
47,ammunition,intolerable,-0.0023652203381061554
48,amount,number,-0.0006594762671738863
49,amounted,make,-0.000565340684261173
50,amusement,athletics,-0.0008306727977469563
51,amusement,procedure,-0.001207149587571621
52,anatomy,palm,-0.0007559997611679137
53,ancient,city,-0.0010199802927672863
54,angel,asphalt,-0.0010948190465569496
55,angel,pod,-0.0008501394186168909
56,angrier,stormy,-0.0023772427812218666
57,animal,asia,-0.0010695066303014755
58,animal,flora,-0.0006803835858590901
59,animal,giraffe,-0.0030428534373641014
60,animal,mural,-0.0009927747305482626
61,animal,wild,-0.0004517077759373933
62,animal,worm,-0.0006900139269419014
63,animal,zoo,-0.00045799737563356757
64,anniversary,marriage,-0.0012427051551640034
65,answering,counter,-0.0009465923067182302
66,anxiety,insecurities,-0.0028859879821538925
67,apartment,staircase,-0.0007192496559582651
68,appliance,dryer,-0.0011922488920390606
69,appreciate,see,-0.0009018375421874225
70,approach,avenue,-0.0011986667523160577
71,approach,merit,-0.0010342448949813843
72,approach,trench,-0.0008938044193200767
73,approval,encouragement,-0.0006570146069861948
74,approving,interaction,-0.0016372890677303076
75,aquarium,coin,-0.0008666179492138326
76,arch,brick,-0.0006954873679205775
77,arch,roof,-0.0008062582928687334
78,architecture,urban,-0.0008211187669076025
79,area,space,-0.0015915462281554937
80,argument,evidence,-0.0008918463718146086
81,arm,bicycle,-0.0007761367596685886
82,arm,television,-0.0007614778587594628
83,arrange,discard,-0.0021583191119134426
84,arrange,study,-0.0009514154517091811
85,arrangement,blizzard,-0.000989181105978787
86,arrangement,room,-0.0008112912182696164
87,art,craft,-0.0009625926031731069
88,art,gem,-0.0010547712445259094
89,art,museum,-0.0006710429443046451
90,art,painting,-0.0005224118940532207
91,article,cup,-0.0007450366392731667
92,article,girl,-0.0008533549844287336
